clase,ejecucion,tiempo_ms,memoria_kb
FuncionTangente,98,70,57080
FuncionTangente,99,60,57196
FuncionTangente,100,70,57304
NumeroAleatorio,1,60,58488
NumeroAleatorio,2,70,57720
NumeroAleatorio,3,60,58488
NumeroAleatorio,4,80,58092
NumeroAleatorio,5,60,58228
NumeroAleatorio,6,70,58996
NumeroAleatorio,7,60,57844
NumeroAleatorio,8,70,57848
NumeroAleatorio,9,70,57208
NumeroAleatorio,10,70,59512
NumeroAleatorio,11,60,59260
NumeroAleatorio,12,70,58992
NumeroAleatorio,13,50,57464
NumeroAleatorio,14,70,58584
NumeroAleatorio,15,70,57848
NumeroAleatorio,16,80,57592
NumeroAleatorio,17,60,57720
NumeroAleatorio,18,70,59492
NumeroAleatorio,19,70,58884
NumeroAleatorio,20,70,59244
NumeroAleatorio,21,60,59000
NumeroAleatorio,22,80,58360
NumeroAleatorio,23,60,58232
NumeroAleatorio,24,60,58992
NumeroAleatorio,25,60,57456
NumeroAleatorio,26,80,58328
NumeroAleatorio,27,60,57680
NumeroAleatorio,28,70,57816
NumeroAleatorio,29,70,57816
NumeroAleatorio,30,70,58872
NumeroAleatorio,31,70,58220
NumeroAleatorio,32,70,58868
NumeroAleatorio,33,60,59000
NumeroAleatorio,34,70,58104
NumeroAleatorio,35,60,58988
NumeroAleatorio,36,70,57984
NumeroAleatorio,37,60,58328
NumeroAleatorio,38,70,58872
NumeroAleatorio,39,50,57432
NumeroAleatorio,40,70,59256
NumeroAleatorio,41,70,58328
NumeroAleatorio,42,70,58104
NumeroAleatorio,43,70,57976
NumeroAleatorio,44,70,59120
NumeroAleatorio,45,60,59352
NumeroAleatorio,46,70,58744
NumeroAleatorio,47,60,58756
NumeroAleatorio,48,70,58232
NumeroAleatorio,49,60,57572
NumeroAleatorio,50,70,59216
NumeroAleatorio,51,60,59136
NumeroAleatorio,52,70,58096
NumeroAleatorio,53,60,58744
NumeroAleatorio,54,70,58996
NumeroAleatorio,55,60,59128
NumeroAleatorio,56,70,59256
